"","nfc_total","bas_drive_total","participant"
"1",3.77777777777778,11,1
"2",2.33333333333333,9,2
"3",3.42857142857143,4,3
"4",3.78571428571429,12,4
"5",4.07142857142857,12,5
"6",4.78571428571429,9,6
"7",4,7,7
"8",3.28571428571429,9,8
"9",3.38888888888889,13,9
"10",4.11111111111111,13,10
"11",3.14285714285714,7,11
"12",3.92857142857143,5,12
"13",3.5,8,13
"14",3.71428571428571,9,14
"15",2.57142857142857,8,15
"16",4.92857142857143,9,16
"17",3.33333333333333,11,17
"18",3.21428571428571,10,18
"19",3.64285714285714,11,19
"20",2.07142857142857,11,20
"21",3.57142857142857,7,21
"22",3,9,22
"23",4.64285714285714,12,23
"24",3.35714285714286,8,24
"25",4.16666666666667,12,25
"26",4.05555555555556,12,26
"27",3.07142857142857,11,27
"28",3.94444444444444,16,28
"29",4.5,13,29
"30",3.78571428571429,10,30
"31",3.42857142857143,11,31
"32",4.57142857142857,10,32
"33",4.44444444444444,16,33
"34",3.85714285714286,8,34
"35",3.28571428571429,5,35
"36",4.5,12,36
"37",3.85714285714286,9,37
"38",4.14285714285714,11,38
"39",4.5,4,39
"40",3.5,10,40
"41",2.42857142857143,7,41
"42",3.07142857142857,7,42
"43",3.77777777777778,16,43
"44",3,13,44
"45",4.14285714285714,4,45
"46",3.5,12,46
"47",3.14285714285714,10,47
"48",3.94444444444444,16,48
"49",3.35714285714286,6,49
"50",4,5,50
"51",2.57142857142857,9,51
"52",3.5,13,52
"53",3,15,53
"54",4.14285714285714,8,55
"55",3.21428571428571,14,56
"56",3.42857142857143,6,57
"57",3.71428571428571,11,58
"58",4.35714285714286,12,59
"59",4.5,8,60
"60",4.57142857142857,13,61
"61",3.78571428571429,7,62
"62",3.28571428571429,7,63
"63",3.61111111111111,13,64
"64",3.55555555555556,13,65
"65",3.72222222222222,8,66
"66",4.5,8,67
"67",3.28571428571429,9,68
"68",4,12,69
"69",3.57142857142857,7,70
"70",3.27777777777778,11,71
"71",4.21428571428571,11,72
"72",3.16666666666667,10,73
"73",3.85714285714286,12,74
"74",3.94444444444444,14,75
"75",3.57142857142857,6,76
"76",3.5,9,77
"77",3.92857142857143,14,78
"78",2.92857142857143,4,79
"79",4.14285714285714,7,80
"80",3.57142857142857,10,81
"81",4.85714285714286,9,82
"82",3.21428571428571,16,83
"83",2.77777777777778,10,84
"84",3.55555555555556,12,85
"85",3.21428571428571,8,86
"86",3.5,10,87
"87",2.78571428571429,10,88
"88",2.94444444444444,7,89
"89",1.78571428571429,7,90
"90",3.66666666666667,12,91
"91",3.83333333333333,12,92
"92",3.21428571428571,10,93
"93",4.64285714285714,9,94
"94",4.05555555555556,14,95
"95",3.71428571428571,7,96
"96",3.5,6,97
"97",4.28571428571429,8,98
"98",1.92857142857143,8,99
"99",2.28571428571429,9,100
"100",4.07142857142857,12,101
"101",3.05555555555556,13,102
"102",4,9,103
"103",4.57142857142857,16,104
"104",3,12,105
"105",3.55555555555556,12,106
"106",3.42857142857143,5,107
"107",4.64285714285714,6,108
"108",4.14285714285714,6,109
"109",4.28571428571429,12,110
"110",3.71428571428571,8,111
"111",4.57142857142857,7,112
"112",4.38888888888889,14,113
"113",4.44444444444444,16,114
"114",4.42857142857143,5,115
"115",3,8,116
"116",3.42857142857143,6,117
"117",4.5,11,118
"118",2.5,9,119
"119",2.83333333333333,12,120
"120",2.92857142857143,11,121
"121",3.28571428571429,7,122
"122",3.77777777777778,14,123
"123",3.44444444444444,11,124
"124",3.57142857142857,8,125
"125",4.21428571428571,9,126
"126",3.57142857142857,6,127
"127",3.07142857142857,6,128
"128",3.94444444444444,13,129
"129",3.64285714285714,12,130
"130",3.66666666666667,10,131
"131",4.57142857142857,12,132
"132",1.07142857142857,5,133
"133",2.71428571428571,8,134
"134",2.64285714285714,14,135
"135",3.33333333333333,11,136
"136",4.5,6,137
"137",2.57142857142857,9,138
"138",2.5,9,139
"139",2.85714285714286,8,140
"140",2.88888888888889,8,141
"141",3,12,142
"142",4.35714285714286,9,143
"143",4,16,144
"144",3.57142857142857,7,145
"145",4.57142857142857,10,146
"146",4,14,147
"147",4.66666666666667,15,148
"148",3.57142857142857,7,149
"149",3.94444444444444,12,150
