"","Difficulty","keyPostGameRating.keys","keyPostGameRating.rt","post_game_question","survey_planet","Block","Incentive","ExactAge","FlooredAge","AgeGroup","participant"
"1","Hard",5,8.9915,"How hard did you try?","saturn","Hard 10¢","10¢",20.3780821917808,20,"Adults",1
"2","Easy",5,3.8293,"How hard did you try?","moon","Easy 1¢","1¢",20.3780821917808,20,"Adults",1
"3","Easy",5,3.6535,"How hard did you try?","moon","Easy 10¢","10¢",20.3780821917808,20,"Adults",1
"4","Hard",5,3.6699,"How hard did you try?","saturn","Hard 1¢","1¢",20.3780821917808,20,"Adults",1
"5","Hard",2,3.2698,"How hard was this galaxy?","saturn","Hard 10¢","10¢",20.3780821917808,20,"Adults",1
"6","Easy",2,2.8191,"How hard was this galaxy?","moon","Easy 1¢","1¢",20.3780821917808,20,"Adults",1
"7","Easy",2,2.6858,"How hard was this galaxy?","moon","Easy 10¢","10¢",20.3780821917808,20,"Adults",1
"8","Hard",2,2.4861,"How hard was this galaxy?","saturn","Hard 1¢","1¢",20.3780821917808,20,"Adults",1
"9","Hard",7,10.4914,"How hard did you try?","saturn","Hard 10¢","10¢",19.9780821917808,19,"Adults",2
"10","Easy",2,4.9519,"How hard did you try?","moon","Easy 1¢","1¢",19.9780821917808,19,"Adults",2
"11","Easy",7,3.1505,"How hard did you try?","moon","Easy 10¢","10¢",19.9780821917808,19,"Adults",2
"12","Hard",2,1.9177,"How hard did you try?","saturn","Hard 1¢","1¢",19.9780821917808,19,"Adults",2
"13","Hard",6,4.5454,"How hard was this galaxy?","saturn","Hard 10¢","10¢",19.9780821917808,19,"Adults",2
"14","Easy",2,4.8565,"How hard was this galaxy?","moon","Easy 1¢","1¢",19.9780821917808,19,"Adults",2
"15","Easy",5,7.199,"How hard was this galaxy?","moon","Easy 10¢","10¢",19.9780821917808,19,"Adults",2
"16","Hard",4,1.6512,"How hard was this galaxy?","saturn","Hard 1¢","1¢",19.9780821917808,19,"Adults",2
"17","Hard",2,6.3377,"How hard did you try?","saturn","Hard 10¢","10¢",14.7506849315069,14,"Adolescents",3
"18","Easy",2,2.0234,"How hard did you try?","moon","Easy 1¢","1¢",14.7506849315069,14,"Adolescents",3
"19","Easy",2,1.7873,"How hard did you try?","moon","Easy 10¢","10¢",14.7506849315069,14,"Adolescents",3
"20","Hard",2,1.7081,"How hard did you try?","saturn","Hard 1¢","1¢",14.7506849315069,14,"Adolescents",3
"21","Hard",2,8.58,"How hard was this galaxy?","saturn","Hard 10¢","10¢",14.7506849315069,14,"Adolescents",3
"22","Easy",1,3.4814,"How hard was this galaxy?","moon","Easy 1¢","1¢",14.7506849315069,14,"Adolescents",3
"23","Easy",2,0.4693,"How hard was this galaxy?","moon","Easy 10¢","10¢",14.7506849315069,14,"Adolescents",3
"24","Hard",1,0.7047,"How hard was this galaxy?","saturn","Hard 1¢","1¢",14.7506849315069,14,"Adolescents",3
"25","Easy",7,1.2786,"How hard did you try?","saturn","Easy 10¢","10¢",12.3698630136986,12,"Children",4
"26","Hard",7,1.4167,"How hard did you try?","moon","Hard 1¢","1¢",12.3698630136986,12,"Children",4
"27","Hard",7,0.1228,"How hard did you try?","moon","Hard 10¢","10¢",12.3698630136986,12,"Children",4
"28","Easy",7,0.1113,"How hard did you try?","saturn","Easy 1¢","1¢",12.3698630136986,12,"Children",4
"29","Easy",7,2.9107,"How hard was this galaxy?","saturn","Easy 10¢","10¢",12.3698630136986,12,"Children",4
"30","Hard",7,0.1037,"How hard was this galaxy?","moon","Hard 1¢","1¢",12.3698630136986,12,"Children",4
"31","Hard",7,0.0674,"How hard was this galaxy?","moon","Hard 10¢","10¢",12.3698630136986,12,"Children",4
"32","Easy",7,0.1108,"How hard was this galaxy?","saturn","Easy 1¢","1¢",12.3698630136986,12,"Children",4
"33","Easy",7,4.1736,"How hard did you try?","saturn","Easy 10¢","10¢",17.027397260274,17,"Adolescents",5
"34","Hard",6,3.898,"How hard did you try?","moon","Hard 1¢","1¢",17.027397260274,17,"Adolescents",5
"35","Hard",7,3.8706,"How hard did you try?","moon","Hard 10¢","10¢",17.027397260274,17,"Adolescents",5
"36","Easy",6,3.8595,"How hard did you try?","saturn","Easy 1¢","1¢",17.027397260274,17,"Adolescents",5
"37","Easy",5,3.3066,"How hard was this galaxy?","saturn","Easy 10¢","10¢",17.027397260274,17,"Adolescents",5
"38","Hard",3,3.507,"How hard was this galaxy?","moon","Hard 1¢","1¢",17.027397260274,17,"Adolescents",5
"39","Hard",5,2.9859,"How hard was this galaxy?","moon","Hard 10¢","10¢",17.027397260274,17,"Adolescents",5
"40","Easy",3,2.9215,"How hard was this galaxy?","saturn","Easy 1¢","1¢",17.027397260274,17,"Adolescents",5
"41","Hard",6,13.2307,"How hard did you try?","saturn","Hard 10¢","10¢",16.7315068493151,16,"Adolescents",6
"42","Easy",6,0.3028,"How hard did you try?","moon","Easy 1¢","1¢",16.7315068493151,16,"Adolescents",6
