"","HowMuchAmount_1","HowMuchAmount_2","HowMuchDiff","participant"
"1",25,6,316.666666666667,57
"2",44,24,83.3333333333333,21
"3",3,1,200,115
"4",3,2,50,20
"5",1,1,0,58
"6",9,1,800,96
"7",19,5,280,133
"8",50,14,257.142857142857,38
"9",4,1,300,77
"10",4,1,300,78
"11",2,1,100,22
"12",4,2,100,80
"13",15,2,650,23
"14",0,1,-100,79
"15",3,1,200,59
"16",1,0,Inf,40
"17",8,3,166.666666666667,61
"18",8,2,300,98
"19",8,3,166.666666666667,41
"20",20,3,566.666666666667,81
"21",1,1,0,39
"22",53,27,96.2962962962963,60
"23",3,1,200,63
"24",1,1,0,42
"25",54,37,45.945945945946,62
"26",9,4,125,116
"27",14,2,600,97
"28",2,1,100,24
"29",1,1,0,82
"30",4,1,300,99
"31",3,1,200,117
"32",82,29,182.758620689655,83
"33",2,1,100,135
"34",25,15,66.6666666666667,119
"35",1,1,0,3
"36",3,1,200,100
"37",30,3,900,134
"38",2,1,100,4
"39",3,1,200,45
"40",9,4,125,118
"41",1,1,0,101
"42",18,4,350,104
"43",2,1,100,103
"44",2,1,100,138
"45",14,2,600,137
"46",52,23,126.086956521739,27
"47",15,7,114.285714285714,67
"48",19,2,850,5
"49",38,44,-13.6363636363636,139
"50",2,1,100,29
"51",7,2,250,68
"52",13,7,85.7142857142857,7
"53",12,4,200,30
"54",58,6,866.666666666667,46
"55",1,1,0,47
"56",3,1,200,86
"57",2,1,100,122
"58",46,6,666.666666666667,6
"59",13,3,333.333333333333,140
"60",17,5,240,31
"61",2,1,100,121
"62",4,1,300,49
"63",6,2,200,70
"64",3,1,200,87
"65",4,2,100,69
"66",1,1,0,107
"67",41,16,156.25,37
"68",2,1,100,32
"69",39,12,225,125
"70",2,1,100,88
"71",36,1,3500,8
"72",62,4,1450,108
"73",5,1,400,51
"74",13,7,85.7142857142857,126
"75",3,1,200,50
"76",10,1,900,143
"77",17,2,750,90
"78",1,1,0,144
"79",12,3,300,11
"80",1,1,0,109
"81",27,4,575,110
"82",2,1,100,127
"83",11,3,266.666666666667,12
"84",1,1,0,72
"85",91,14,550,111
"86",4,1,300,74
"87",20,4,400,34
"88",5,2,150,145
"89",2,1,100,14
"90",20,4,400,15
"91",1,1,0,128
"92",6,2,200,35
"93",4,1,300,13
"94",14,2,600,16
"95",1,0,Inf,146
"96",1,1,0,147
"97",51,5,920,130
"98",1,1,0,112
"99",3,1,200,18
"100",3,3,0,93
"101",30,6,400,55
"102",12,2,500,132
"103",29,4,625,94
"104",6,1,500,36
"105",7,1,600,19
"106",9,1,800,149
"107",24,1,2300,76
"108",6,1,500,56
"109",83,64,29.6875,43
"110",4,1,300,1
"111",93,15,520,2
"112",2,1,100,25
"113",3,1,200,44
"114",4,1,300,84
"115",15,1,1400,65
"116",11,2,450,64
"117",4,2,100,102
"118",16,5,220,26
"119",5,1,400,120
"120",2,1,100,136
"121",7,1,600,85
"122",79,37,113.513513513514,66
"123",19,3,533.333333333333,28
"124",14,4,250,105
"125",45,21,114.285714285714,106
"126",100,1,9900,48
"127",42,2,2000,123
"128",50,5,900,124
"129",1,1,0,142
"130",53,9,488.888888888889,141
"131",14,4,250,10
"132",5,1,400,33
"133",49,2,2350,9
"134",46,3,1433.33333333333,52
"135",5,2,150,71
"136",89,51,74.5098039215686,89
"137",19,4,375,53
"138",15,6,150,91
"139",48,18,166.666666666667,73
"140",2,2,0,129
"141",100,6,1566.66666666667,92
"142",15,7,114.285714285714,17
"143",21,4,425,131
"144",1,1,0,148
"145",6,3,100,75
"146",16,8,100,150
"147",3,1,200,114
"148",2,1,100,113
"149",80,20,300,95
