"","Gender","ExactAge","Race","Ethnicity","FlooredAge","AgeGroup","participant"
"1","Feminine",20.2575342465753,"Not Captured by Options","Not Hispanic or Latino",20,"Adults",151
"241","Feminine",19.2082191780822,"Asian","Not Hispanic or Latino",19,"Adults",152
"481","Feminine",18.1369863013699,"Asian","Not Hispanic or Latino",18,"Adults",153
"721","Masculine",14.0465753424658,"Asian","Not Hispanic or Latino",14,"Adolescents",154
"961","Feminine",13.1123287671233,"Not Captured by Options","Not Hispanic or Latino",13,"Adolescents",155
"1201","Feminine",15.2383561643836,"White","Not Hispanic or Latino",15,"Adolescents",156
"1441","Feminine",12.6767123287671,"Not Captured by Options","Not Hispanic or Latino",12,"Children",157
"1681","Feminine",11.2054794520548,"Asian","Not Hispanic or Latino",11,"Children",158
"1921","Masculine",15.0301369863014,"White","Not Hispanic or Latino",15,"Adolescents",159
"2161","Feminine",10.1534246575342,"Not Captured by Options","Hispanic or Latino",10,"Children",160
"2401","Masculine",14.8602739726027,"White","Not Hispanic or Latino",14,"Adolescents",161
"2641","Masculine",17.0904109589041,"White","Not Hispanic or Latino",17,"Adolescents",162
"2881","Masculine",20.6465753424658,"Black or African American","Not Hispanic or Latino",20,"Adults",163
"3121","Masculine",12.5808219178082,"White","Not Hispanic or Latino",12,"Children",164
"3361","Feminine",12.986301369863,"White","Not Hispanic or Latino",12,"Children",165
"3601","Masculine",13.441095890411,"White","Not Hispanic or Latino",13,"Adolescents",166
"3841","Masculine",18.3698630136986,"Asian","Not Hispanic or Latino",18,"Adults",167
"4081","Feminine",15.8767123287671,"Not Captured by Options","Hispanic or Latino",15,"Adolescents",168
"4321","Feminine",15.5479452054795,"Not Captured by Options","Not Hispanic or Latino",15,"Adolescents",169
"4561","Feminine",20.4438356164384,"White","Hispanic or Latino",20,"Adults",170
"4801","Feminine",19.0657534246575,"Not Captured by Options","Not Hispanic or Latino",19,"Adults",171
"5041","Feminine",18.5123287671233,"Asian","Not Hispanic or Latino",18,"Adults",172
"5281","Feminine",14.1342465753425,"Not Captured by Options","Not Hispanic or Latino",14,"Adolescents",173
"5521","Masculine",12.4876712328767,"Not Captured by Options","Not Hispanic or Latino",12,"Children",174
"5761","Feminine",16.3260273972603,"White","Not Hispanic or Latino",16,"Adolescents",175
"6001","Feminine",11.6767123287671,"White","Not Hispanic or Latino",11,"Children",176
"6241","Feminine",15.3452054794521,"White","Not Hispanic or Latino",15,"Adolescents",177
"6481","Masculine",13.8958904109589,"White","Not Hispanic or Latino",13,"Adolescents",178
"6721","Feminine",17.1013698630137,"White","Not Hispanic or Latino",17,"Adolescents",179
"6961","Masculine",14.1643835616438,"White","Not Hispanic or Latino",14,"Adolescents",180
"7201","Masculine",20.5095890410959,"White","Not Hispanic or Latino",20,"Adults",181
"7441","Feminine",10.3013698630137,"White","Not Hispanic or Latino",10,"Children",182
"7681","Masculine",17.2794520547945,"White","Not Hispanic or Latino",17,"Adolescents",183
"7921","Masculine",18.1150684931507,"Asian","Not Hispanic or Latino",18,"Adults",184
"8161","Masculine",19.1808219178082,"Not Captured by Options","Hispanic or Latino",19,"Adults",185
"8401","Masculine",19.186301369863,"Asian","Not Hispanic or Latino",19,"Adults",186
"8641","Masculine",18.386301369863,"Not Captured by Options","Not Hispanic or Latino",18,"Adults",187
"8881","Feminine",18.6931506849315,"White","Not Hispanic or Latino",18,"Adults",188
"9121","Feminine",19.041095890411,"Asian","Not Hispanic or Latino",19,"Adults",189
"9361","Feminine",14.4547945205479,"White","Not Hispanic or Latino",14,"Adolescents",190
"9601","Masculine",15.1917808219178,"White","Not Hispanic or Latino",15,"Adolescents",191
"9841","Masculine",12.8904109589041,"White","Not Hispanic or Latino",12,"Children",192
"10081","Masculine",15.7561643835616,"White","Not Hispanic or Latino",15,"Adolescents",193
"10321","Feminine",13.9068493150685,"White","Not Hispanic or Latino",13,"Adolescents",194
"10561","Masculine",16.8191780821918,"Black or African American","Hispanic or Latino",16,"Adolescents",195
"10801","Masculine",13.1972602739726,"White","Not Hispanic or Latino",13,"Adolescents",196
"11041","Feminine",11.6328767123288,"White","Not Hispanic or Latino",11,"Children",197
"11281","Masculine",14.0328767123288,"White","Not Hispanic or Latino",14,"Adolescents",198
"11521","Masculine",10.2712328767123,"White","Not Hispanic or Latino",10,"Children",199
"11761","Masculine",12.4630136986301,"White","Not Hispanic or Latino",12,"Children",200
"12001","Feminine",10.1095890410959,"White","Not Hispanic or Latino",10,"Children",201
"12241","Feminine",12.9616438356164,"White","Not Hispanic or Latino",12,"Children",202
"12481","Feminine",13.8109589041096,"White","Hispanic or Latino",13,"Adolescents",203
"12721","Masculine",10.0630136986301,"White","Not Hispanic or Latino",10,"Children",204
"12961","Feminine",11.8931506849315,"Not Captured by Options","Not Hispanic or Latino",11,"Children",205
"13201","Feminine",17.958904109589,"White","Not Hispanic or Latino",17,"Adolescents",206
"13441","Masculine",18.2575342465753,"Native Hawaiian or other Pacific Islander","Not Hispanic or Latino",18,"Adults",207
"13681","Feminine",20.6657534246575,"Asian","Not Hispanic or Latino",20,"Adults",208
"13921","Feminine",19.7643835616438,"Asian","Not Hispanic or Latino",19,"Adults",209
"14161","Feminine",14.2027397260274,"Black or African American","Not Hispanic or Latino",14,"Adolescents",210
"14401","Feminine",15.2712328767123,"White","Not Hispanic or Latino",15,"Adolescents",211
"14641","Feminine",12.3095890410959,"White","Not Hispanic or Latino",12,"Children",212
"14881","Masculine",15.1479452054795,"White","Not Hispanic or Latino",15,"Adolescents",213
"15121","Feminine",16.7452054794521,"White","Not Hispanic or Latino",16,"Adolescents",214
"15361","Feminine",13.9671232876712,"White","Not Hispanic or Latino",13,"Adolescents",215
"15601","Masculine",13.1671232876712,"White","Not Hispanic or Latino",13,"Adolescents",216
"15841","Masculine",16.6383561643836,"White","Not Hispanic or Latino",16,"Adolescents",217
"16081","Masculine",10.2712328767123,"White","Not Hispanic or Latino",10,"Children",218
"16321","Masculine",11.5452054794521,"White","Not Hispanic or Latino",11,"Children",219
"16561","Masculine",20.7150684931507,"White","Hispanic or Latino",20,"Adults",220
"16801","Feminine",14.3150684931507,"White","Not Hispanic or Latino",14,"Adolescents",221
"17041","Masculine",17.3972602739726,"White","Not Hispanic or Latino",17,"Adolescents",222
"17281","Feminine",17.0712328767123,"Asian","Not Hispanic or Latino",17,"Adolescents",223
"17521","Masculine",19.7150684931507,"White","Hispanic or Latino",19,"Adults",224
"17761","Feminine",20.1643835616438,"Asian","Not Hispanic or Latino",20,"Adults",225
"18001","Feminine",19.7479452054795,"Asian","Not Hispanic or Latino",19,"Adults",226
"18241","Masculine",15.0602739726027,"Asian","Not Hispanic or Latino",15,"Adolescents",227
"18481","Feminine",18.972602739726,"White","Hispanic or Latino",18,"Adults",228
"18721","Masculine",12.2849315068493,"White","Not Hispanic or Latino",12,"Children",229
"18961","Masculine",14.5917808219178,"White","Not Hispanic or Latino",14,"Adolescents",230
"19201","Masculine",15.4438356164384,"Not Captured by Options","Hispanic or Latino",15,"Adolescents",231
"19441","Feminine",16.6767123287671,"Not Captured by Options","Not Hispanic or Latino",16,"Adolescents",232
"19681","Feminine",13.4465753424658,"White","Not Hispanic or Latino",13,"Adolescents",233
"19921","Masculine",13.0602739726027,"White","Not Hispanic or Latino",13,"Adolescents",234
"20161","Feminine",16.1917808219178,"Not Captured by Options","Not Hispanic or Latino",16,"Adolescents",235
"20401","Feminine",11.7479452054795,"White","Not Hispanic or Latino",11,"Children",236
"20641","Masculine",16.041095890411,"White","Not Hispanic or Latino",16,"Adolescents",237
"20881","Feminine",10.7890410958904,"White","Hispanic or Latino",10,"Children",238
