Difficulty,do_switch,resp_type,keyTrial.rt,too_slow_trial,trial_num,block_num,correct,block_third,Incentive,ExactAge,FlooredAge,AgeGroup,participant
Easy,0,correct,0.848,0,1,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,1,correct,0.9108,0,2,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.6746,0,3,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.845,0,4,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.5644,0,5,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,1,correct,0.6446,0,6,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.5607,0,7,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.636,0,8,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.7614,0,9,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.5551,0,10,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,1,correct,0.904,0,11,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.7094,0,12,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,1,correct,0.5129,0,13,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.4085,0,14,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.4149,0,15,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.4314,0,16,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.5,0,17,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,incorrect,0.4949,0,18,1,0,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.6199,0,19,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.5359,0,20,1,1,Early,10¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.7172,0,21,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.657,0,22,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.4495,0,23,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.4861,0,24,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,1,correct,0.8381,0,25,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.8176,0,26,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.7382,0,27,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.7067,0,28,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.8078,0,29,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.734,0,30,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.751,0,31,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,1,correct,0.7261,0,32,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.6112,0,33,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.6338,0,34,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,1,correct,0.7912,0,35,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.6676,0,36,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.7507,0,37,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.7516,0,38,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,0,correct,0.7845,0,39,2,1,Early,1¢,20.257534246575343,20,Adults,151
Easy,1,correct,0.7688,0,40,2,1,Early,1¢,20.257534246575343,20,Adults,151
Hard,0,correct,0.8264,0,41,3,1,Early,10¢,20.257534246575343,20,Adults,151
Hard,1,correct,0.6167,0,42,3,1,Early,10¢,20.257534246575343,20,Adults,151
Hard,1,correct,0.6173,0,43,3,1,Early,10¢,20.257534246575343,20,Adults,151
Hard,0,correct,0.6612,0,44,3,1,Early,10¢,20.257534246575343,20,Adults,151
Hard,1,correct,0.6996,0,45,3,1,Early,10¢,20.257534246575343,20,Adults,151
Hard,1,correct,0.6342,0,46,3,1,Early,10¢,20.257534246575343,20,Adults,151
Hard,1,correct,0.6405,0,47,3,1,Early,10¢,20.257534246575343,20,Adults,151
Hard,0,correct,0.6391,0,48,3,1,Early,10¢,20.257534246575343,20,Adults,151
Hard,0,correct,0.8487,0,49,3,1,Early,10¢,20.257534246575343,20,Adults,151
Hard,0,correct,0.5972,0,50,3,1,Early,10¢,20.257534246575343,20,Adults,151
