num_tries,num_misses,num_speed_outliers,Gender,ExactAge,Race,Ethnicity,FlooredAge,AgeGroup,participant
3,1,3,Feminine,20.257534246575343,Not Captured by Options,Not Hispanic or Latino,20,Adults,151
3,0,3,Feminine,19.208219178082192,Asian,Not Hispanic or Latino,19,Adults,152
3,0,6,Feminine,18.136986301369863,Asian,Not Hispanic or Latino,18,Adults,153
4,3,7,Masculine,14.046575342465754,Asian,Not Hispanic or Latino,14,Adolescents,154
3,0,4,Feminine,13.112328767123287,Not Captured by Options,Not Hispanic or Latino,13,Adolescents,155
3,1,7,Feminine,15.238356164383562,White,Not Hispanic or Latino,15,Adolescents,156
4,2,3,Feminine,12.676712328767124,Not Captured by Options,Not Hispanic or Latino,12,Children,157
3,1,7,Feminine,11.205479452054794,Asian,Not Hispanic or Latino,11,Children,158
3,0,2,Masculine,15.03013698630137,White,Not Hispanic or Latino,15,Adolescents,159
3,0,5,Feminine,10.153424657534249,Not Captured by Options,Hispanic or Latino,10,Children,160
3,0,2,Masculine,14.86027397260274,White,Not Hispanic or Latino,14,Adolescents,161
3,0,4,Masculine,17.09041095890411,White,Not Hispanic or Latino,17,Adolescents,162
3,0,2,Masculine,20.646575342465752,Black or African American,Not Hispanic or Latino,20,Adults,163
3,0,4,Masculine,12.58082191780822,White,Not Hispanic or Latino,12,Children,164
3,0,6,Feminine,12.986301369863014,White,Not Hispanic or Latino,12,Children,165
3,0,3,Masculine,13.441095890410958,White,Not Hispanic or Latino,13,Adolescents,166
3,0,4,Masculine,18.36986301369863,Asian,Not Hispanic or Latino,18,Adults,167
3,0,0,Feminine,15.876712328767123,Not Captured by Options,Hispanic or Latino,15,Adolescents,168
5,2,5,Feminine,15.547945205479452,Not Captured by Options,Not Hispanic or Latino,15,Adolescents,169
3,0,3,Feminine,20.443835616438356,White,Hispanic or Latino,20,Adults,170
3,0,4,Feminine,19.065753424657533,Not Captured by Options,Not Hispanic or Latino,19,Adults,171
3,1,5,Feminine,18.51232876712329,Asian,Not Hispanic or Latino,18,Adults,172
3,0,5,Feminine,14.134246575342466,Not Captured by Options,Not Hispanic or Latino,14,Adolescents,173
3,0,2,Masculine,12.487671232876712,Not Captured by Options,Not Hispanic or Latino,12,Children,174
3,0,3,Feminine,16.326027397260273,White,Not Hispanic or Latino,16,Adolescents,175
3,0,2,Feminine,11.676712328767124,White,Not Hispanic or Latino,11,Children,176
3,0,5,Feminine,15.345205479452057,White,Not Hispanic or Latino,15,Adolescents,177
3,0,4,Masculine,13.895890410958904,White,Not Hispanic or Latino,13,Adolescents,178
3,0,4,Feminine,17.101369863013698,White,Not Hispanic or Latino,17,Adolescents,179
3,0,0,Masculine,14.164383561643836,White,Not Hispanic or Latino,14,Adolescents,180
3,0,2,Masculine,20.50958904109589,White,Not Hispanic or Latino,20,Adults,181
3,0,3,Feminine,10.3013698630137,White,Not Hispanic or Latino,10,Children,182
3,0,4,Masculine,17.279452054794522,White,Not Hispanic or Latino,17,Adolescents,183
3,0,2,Masculine,18.115068493150684,Asian,Not Hispanic or Latino,18,Adults,184
3,0,1,Masculine,19.18082191780822,Not Captured by Options,Hispanic or Latino,19,Adults,185
3,1,8,Masculine,19.186301369863013,Asian,Not Hispanic or Latino,19,Adults,186
3,0,4,Masculine,18.386301369863013,Not Captured by Options,Not Hispanic or Latino,18,Adults,187
3,0,1,Feminine,18.693150684931503,White,Not Hispanic or Latino,18,Adults,188
5,1,5,Feminine,19.04109589041096,Asian,Not Hispanic or Latino,19,Adults,189
3,0,5,Feminine,14.454794520547946,White,Not Hispanic or Latino,14,Adolescents,190
3,0,2,Masculine,15.191780821917808,White,Not Hispanic or Latino,15,Adolescents,191
3,0,3,Masculine,12.89041095890411,White,Not Hispanic or Latino,12,Children,192
5,0,3,Masculine,15.756164383561645,White,Not Hispanic or Latino,15,Adolescents,193
3,3,3,Feminine,13.906849315068492,White,Not Hispanic or Latino,13,Adolescents,194
3,3,10,Masculine,16.81917808219178,Black or African American,Hispanic or Latino,16,Adolescents,195
4,0,3,Masculine,13.197260273972605,White,Not Hispanic or Latino,13,Adolescents,196
4,1,4,Feminine,11.632876712328768,White,Not Hispanic or Latino,11,Children,197
4,0,2,Masculine,14.032876712328768,White,Not Hispanic or Latino,14,Adolescents,198
3,0,2,Masculine,10.271232876712329,White,Not Hispanic or Latino,10,Children,199
5,0,3,Masculine,12.463013698630135,White,Not Hispanic or Latino,12,Children,200
3,0,2,Feminine,10.10958904109589,White,Not Hispanic or Latino,10,Children,201
3,0,4,Feminine,12.96164383561644,White,Not Hispanic or Latino,12,Children,202
3,0,2,Feminine,13.810958904109588,White,Hispanic or Latino,13,Adolescents,203
3,0,5,Masculine,10.063013698630137,White,Not Hispanic or Latino,10,Children,204
3,0,3,Feminine,11.893150684931507,Not Captured by Options,Not Hispanic or Latino,11,Children,205
3,0,5,Feminine,17.958904109589042,White,Not Hispanic or Latino,17,Adolescents,206
4,0,2,Masculine,18.257534246575343,Native Hawaiian or other Pacific Islander,Not Hispanic or Latino,18,Adults,207
3,0,5,Feminine,20.665753424657535,Asian,Not Hispanic or Latino,20,Adults,208
3,0,2,Feminine,19.764383561643836,Asian,Not Hispanic or Latino,19,Adults,209
3,2,4,Feminine,14.202739726027398,Black or African American,Not Hispanic or Latino,14,Adolescents,210
5,0,3,Feminine,15.271232876712329,White,Not Hispanic or Latino,15,Adolescents,211
3,0,5,Feminine,12.30958904109589,White,Not Hispanic or Latino,12,Children,212
3,0,4,Masculine,15.147945205479452,White,Not Hispanic or Latino,15,Adolescents,213
3,0,2,Feminine,16.745205479452054,White,Not Hispanic or Latino,16,Adolescents,214
4,0,4,Feminine,13.967123287671232,White,Not Hispanic or Latino,13,Adolescents,215
3,0,1,Masculine,13.167123287671233,White,Not Hispanic or Latino,13,Adolescents,216
3,0,1,Masculine,16.638356164383563,White,Not Hispanic or Latino,16,Adolescents,217
3,0,6,Masculine,10.271232876712329,White,Not Hispanic or Latino,10,Children,218
3,0,3,Masculine,11.545205479452054,White,Not Hispanic or Latino,11,Children,219
3,0,3,Masculine,20.715068493150685,White,Hispanic or Latino,20,Adults,220
3,0,2,Feminine,14.315068493150685,White,Not Hispanic or Latino,14,Adolescents,221
3,0,0,Masculine,17.397260273972602,White,Not Hispanic or Latino,17,Adolescents,222
3,0,4,Feminine,17.07123287671233,Asian,Not Hispanic or Latino,17,Adolescents,223
3,0,2,Masculine,19.715068493150685,White,Hispanic or Latino,19,Adults,224
